Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,Landing Count,Total Landed Weight (lbs)
200709,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,747,422,60,37800000
200709,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,,977,193446000
200709,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,300,243,72900000
200709,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,322,82,26240000
200709,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,222B,30,13800000
200709,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,777,222B,163,74980000
200709,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,777,222B,60,27600000
200709,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,,134,59630000
200709,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,131,641,88329800
200709,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,131,3,413400
200709,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,232,807,114755400
200709,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,232,27,3839400
200709,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,232,11,1564200
200709,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,,261,37114200
200709,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,747,400,30,18900000
200710,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,,48,13584000
200710,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,41,23,2346000
200710,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Passenger,Narrow Body,Boeing,757,300,2,448000
200710,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A330,200,3,1195200
200710,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,127,17079087
200710,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,80,11375760
200710,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,5,857500
200710,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,190,64,6067200
200710,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000
200710,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,747,400,27,16161500
200710,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A340,300,3,1256700
200710,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,200,31,14570000
200710,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,700,110,14080000
200710,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,250,30250000
200710,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,400,59,7139000
200710,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,400,41,4961000
200710,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,700,50,6450000
200710,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,700,4,516800
200710,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,700,17,2196400
200710,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,800,65,9360000
200710,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,800,25,3600000
200710,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,800,7,1008000
200710,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900,59,8631700
200710,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,900,31,4535300
200710,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,,7,910000
200710,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,300ER,31,17174000
200710,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,,215,42570000
200710,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,200,98,26460000
200710,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,300,164,50840000
200710,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,83,408,53040000
200710,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,SP,220,28600000
200710,American Eagle Airlines,MQ,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,140,140,5768000
200710,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,400,14,9324000
200710,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,200ER,17,7820000
200710,Astar Air Cargo,ER,Astar Air Cargo,ER,Domestic,US,Freighter,Wide Body,Airbus,A300,,1,295420
200710,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,400,62,39060000
200710,Cargolux Airlines ,CV,Cargolux Airlines ,CV,International,Europe,Freighter,Wide Body,Boeing,747,400,9,5994000
200710,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Freighter,Wide Body,Boeing,747,400,17,11322000
200710,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,747,400,45,28350000
200710,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000
200710,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,,25,16650000
200710,China Cargo Airlines,CK,China Cargo Airlines,CK,International,Asia,Freighter,Wide Body,McDonnell Douglas,MD-11,,15,7072500
200710,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,800,286,41184000
200710,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,737,,76,8664000
200710,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,757,200,31,6138000
200710,Continental Airlines,CO,Continental Airlines,CO,Domestic,US,Passenger,Narrow Body,Boeing,757,300,32,7168000
200710,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,95,13680000
200710,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,,232,45936000
200710,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300,87,25665000
200710,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300ER,1,320000
200710,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-88,,2,260000
200710,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-90,,62,8804000
200710,EVA Airways,BR,EVA Airways,BR,International,Asia,Combi,Wide Body,Boeing,747,400,39,24531000
200710,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,747,400,14,8806000
200710,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,,2,1304000
200710,ExpressJet Airlines,XE,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,145AR,95,4189500
200710,ExpressJet Airlines,XE,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,145XR,88,3748800
200710,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,10,48,18000000
200710,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,MD-11,,26,12519000
200710,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A318,,111,14041500
200710,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,,71,9549500
200710,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,300,31,9920000
200710,Horizon Air ,QX,Alaska Airlines,AS,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,55,3685000
200710,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Freighter,Wide Body,Boeing,747,200,18,11340000
200710,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Freighter,Wide Body,Boeing,747,400,31,19530000
200710,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,747,400,32,20160000
200710,JetBlue Airways ,B6,JetBlue Airways ,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,,182,25880400
200710,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,747,400,27,16958700
200710,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,777,200,4,1880000
200710,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,100,1,585000
200710,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,200,13,8190000
200710,Kitty Hawk Air Cargo,KR,Kitty Hawk Air Cargo,KR,Domestic,US,Freighter,Narrow Body,Boeing,737,300,21,2448600
200710,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,400,23,14996000
200710,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,400ER,6,3918000
200710,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,200,17,7820000
200710,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Boeing,747,430,31,19530000
200710,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,600,31,17701000
200710,Mesa Airlines,YV,US Airways,US ,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,24,1128000
200710,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A318,,13,1648400
200710,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A319,,27,3631500
200710,Mexicana Airlines,MX,Mexicana Airlines,MX,International,Mexico,Passenger,Narrow Body,Airbus,A320,,32,4550400
200710,Miami Air International,GL,Miami Air International,GL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,1,146000
200710,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,,31,4030000
200710,Midwest Airlines,YX,Midwest Airlines,YX,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-88,,31,4324500
200710,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,200,45,28350000
200710,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Freighter,Wide Body,Boeing,747,200,8,5040000
200710,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,757,300,93,20832000
200710,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Boeing,757,,121,23958000
200710,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A319,,31,4166400
200710,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Narrow Body,Airbus,A320,,59,8389800
200710,Northwest Airlines,NW,Northwest Airlines,NW,International,Asia,Passenger,Wide Body,Airbus,A330,223,31,12437200
200710,Northwest Airlines,NW,Northwest Airlines,NW,Domestic,US,Passenger,Wide Body,Airbus,A330,323,1,412200
200710,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,747,400,22,13860000
200710,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,300,9,3770100
200710,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,400,12,7582000
200710,Qantas Airways,QF,Qantas Airways,QF,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,400ER,10,6370000
200710,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000
200710,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,300ER,31,17136800
200710,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,,855,40185000
200710,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,500,54,2538000
200710,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,600,315,21105000
200710,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,600,123,8241000
200710,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,55,3685000
200710,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,800,1,75000
200710,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Turbo Prop,Embraer,ERJ,120,2156,55624800
200710,Southern Air,9S,Southern Air,9S,Domestic,US,Freighter,Wide Body,Boeing,747,200,2,1260000
200710,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,300,38,4332000
200710,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,500,2,220000
200710,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,700,500,64000000
200710,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,800,62,9064300
200710,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A320,,30,4266000
200710,TACA,TA,TACA,TA,International,Central America,Passenger,Narrow Body,Airbus,A321,,5,856000
200710,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Boeing,737,300,8,912000
200710,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Airbus,A319,,233,32084500
200710,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Airbus,A320,,186,26436300
200710,US Airways,US ,US Airways,US ,Domestic,US,Passenger,Narrow Body,Airbus,A321,,162,27783000
200710,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,300,440,50160000
200710,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,322,124,14136000
200710,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,500,294,32340000
200710,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,747,422,12,7560000
200710,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,747,422,128,80640000
200710,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,747,422,31,19530000
200710,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,747,422,58,36540000
200710,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,,993,196614000
200710,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,757,,4,792000
200710,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,300,250,75000000
200710,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,322,110,35200000
200710,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,222B,26,11960000
200710,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,777,222B,160,73600000
200710,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,777,222B,66,30360000
200710,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,,145,64525000
200710,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,131,669,92188200
200710,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,131,1,137800
200710,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,232,832,118310400
200710,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,232,30,4266000
200710,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,232,35,4977000
200710,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,,3,413400
200710,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,,388,55173600
200710,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,747,400,31,19530000
200711,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,,33,9339000
200711,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Narrow Body,McDonnell Douglas,DC-9,41,21,2142000
200711,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Passenger,Wide Body,Airbus,A330,200,17,6778400
200711,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,71,9549500
200711,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,47,6683400
200711,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,6,1029000
200711,Air Canada ,AC,Air Canada ,AC,International,Canada,Passenger,Regional Jet,Embraer,ERJ,190,102,9669600
200711,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,747,400,29,18270000
200711,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A330,300,1,401200
200711,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Airbus,A340,300,29,12148100
200711,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,200,30,14100000
200711,AirTran Airways,FL,AirTran Airways,FL,Domestic,US,Passenger,Narrow Body,Boeing,737,700,70,8960000
200711,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,238,28798000
200711,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,400,58,7018000
200711,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,400,30,3630000
200711,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,700,32,4134400
200711,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,700,27,3488400
200711,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,800,79,11376000
200711,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,800,1,144000
200711,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,800,65,9360000
200711,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900,34,4974200
200711,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Passenger,Narrow Body,Boeing,737,900,1,146300
200711,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,900,29,4242700
200711,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,,30,3900000
200711,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Passenger,Wide Body,Boeing,777,300ER,30,16620000
200711,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,,212,41976000
200711,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,200,65,17550000
200711,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,300,186,57660000
